unit_id,name,S,P,V,INC,TOUR_acc,TOUR_ski,z_pop,z_cars,z_cars_income,z_cars_income_tour,z,p_two,q_fdr,lisa,lisa_p,border_band,dist_no_km,dist_fi_km
SE_0180,Stockholm,988943.0,60,358597.0,406.8,216.0,6.0,-1.338,-1.81,-2.896,-4.326,-4.326,1.69587356883081e-05,0.004918033349609349,LL,0.001,interior,305.923,113.362
SE_2034,Orsa,6908.0,2,4447.0,307.9,52.0,14.0,-1.486,-1.563,-2.075,-2.617,-2.617,0.022654554715305662,0.9927053949436064,ns,0.748,interior,77.778,238.521
SE_1498,Tidaholm,12839.0,1,7737.0,337.6,11.0,1.0,-2.118,-2.257,-2.525,-2.446,-2.446,0.008537295238045407,0.8252718730110559,ns,0.845,interior,143.818,363.76
SE_0184,Solna,85426.0,8,57138.0,434.0,18.0,0.0,-2.207,-3.126,-2.518,-2.365,-2.365,0.017337687508853013,0.9927053949436064,LL,0.001,interior,317.411,113.558
SE_0885,Borgholm,10748.0,6,6708.0,301.2,193.0,0.0,-0.168,-0.245,-1.011,-2.12,-2.12,0.048398072687563326,0.9927053949436064,ns,0.276,interior,360.781,319.884
SE_1473,Töreboda,9141.0,2,5306.0,302.8,8.0,0.0,-1.602,-1.61,-2.271,-2.021,-2.021,0.06287490296983042,0.9927053949436064,ns,0.216,interior,131.542,314.469
SE_0584,Vadstena,7434.0,1,4181.0,332.4,15.0,2.0,-1.764,-1.709,-1.821,-1.953,-1.953,0.04592152958725318,0.9927053949436064,ns,0.249,interior,177.379,308.328
SE_1281,Lund,130288.0,20,46153.0,326.4,36.0,0.0,-0.921,-0.622,-2.108,-1.831,-1.831,0.07900395547823813,0.9927053949436064,ns,0.347,interior,357.069,595.623
SE_0181,Södertälje,102519.0,22,59203.0,332.0,22.0,1.0,-0.237,-0.844,-2.455,-1.681,-1.681,0.09838328602034599,0.9927053949436064,ns,0.3,interior,284.419,138.731
SE_1864,Ljusnarsberg,4407.0,2,2626.0,279.9,8.0,4.0,-1.053,-0.963,-1.715,-1.667,-1.667,0.17577559337180004,0.9927053949436064,LL,0.027,interior,122.732,219.528
SE_1760,Storfors,3801.0,1,2482.0,319.2,7.0,1.0,-1.499,-1.493,-1.642,-1.622,-1.622,0.17644383605910907,0.9927053949436064,ns,0.367,interior,103.402,272.541
SE_0183,Sundbyberg,55912.0,2,14299.0,415.5,3.0,0.0,-3.36,-2.708,-2.014,-1.61,-1.61,0.10053640936445213,0.9927053949436064,LL,0.003,interior,315.669,114.919
SE_1884,Nora,10627.0,3,5979.0,333.7,27.0,0.0,-1.174,-1.153,-1.309,-1.564,-1.564,0.12497831254618896,0.9927053949436064,ns,0.121,interior,131.939,236.19
SE_0642,Mullsjö,7577.0,2,4142.0,345.4,11.0,2.0,-1.583,-1.492,-1.425,-1.518,-1.518,0.24450174697360133,0.9927053949436064,ns,0.72,interior,156.376,388.877
SE_1284,Höganäs,28193.0,6,15249.0,362.1,26.0,0.0,-1.254,-1.393,-1.348,-1.515,-1.515,0.1320148687222855,0.9927053949436064,ns,0.826,interior,291.975,582.815
SE_1266,Hörby,15585.0,4,9163.0,329.9,8.0,0.0,-1.241,-1.36,-1.758,-1.436,-1.436,0.17433885020433626,0.9927053949436064,ns,0.874,interior,348.64,563.827
SE_0488,Trosa,14885.0,2,7874.0,381.5,9.0,2.0,-1.838,-1.83,-1.405,-1.43,-1.43,0.11936090389931492,0.9927053949436064,ns,0.277,interior,302.385,164.498
SE_0182,Nacka,110633.0,10,52733.0,449.6,13.0,3.0,-2.274,-2.68,-1.548,-1.426,-1.426,0.20479299543904686,0.9927053949436064,LL,0.001,interior,327.406,103.448
SE_1421,Orust,15333.0,5,9776.0,343.6,20.0,0.0,-0.971,-1.197,-1.342,-1.425,-1.425,0.22241734679969388,0.9927053949436064,ns,0.294,interior,64.88,473.494
SE_1766,Sunne,13366.0,5,8794.0,328.7,18.0,3.0,-0.724,-0.95,-1.313,-1.385,-1.385,0.19778580386978312,0.9927053949436064,ns,0.213,Norway,5.162,321.951
SE_2181,Sandviken,38628.0,15,21394.0,330.8,134.0,14.0,0.383,0.234,-0.258,-1.373,-1.373,0.1486936344473328,0.9927053949436064,ns,0.569,interior,196.05,122.488
SE_1407,Öckerö,12819.0,2,5998.0,390.0,22.0,0.0,-1.816,-1.628,-1.065,-1.362,-1.362,0.18261250368009146,0.9927053949436064,LH,0.046,interior,119.424,510.606
SE_2029,Leksand,16043.0,6,10071.0,328.1,28.0,3.0,-0.501,-0.693,-1.094,-1.313,-1.313,0.176186981991728,0.9927053949436064,ns,0.169,interior,98.344,200.771
SE_2085,Ludvika,26402.0,9,14623.0,335.6,33.0,8.0,-0.49,-0.604,-0.988,-1.31,-1.31,0.2529277070167275,0.9927053949436064,ns,0.257,interior,86.98,215.036
SE_1763,Forshaga,11538.0,3,6572.0,340.1,4.0,1.0,-1.461,-1.485,-1.599,-1.283,-1.283,0.3091327723167206,0.9927053949436064,ns,0.143,interior,60.528,308.729
